"","RowNumber","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"892",892,15780140,"Bellucci",435,"Germany","Male",32,2,57017.06,2,1,1,5907.11,"0"
"2203",4847.0938524371,15806331.3018055,"Jackson",542.080878909677,"France","Female",47.219670408871,1.91329671209678,109383.936633846,1,1,0,85108.662427454,"1"
"6530",6530,15728823,"Sharwood",836,"Spain","Female",37,10,0,2,1,0,111324.41,"0"
"3667.2",3667,15725068,"Quinn",701,"Spain","Female",21,9,0,2,1,1,26327.42,"0"
"6250",6250,15806486,"Cunningham",705,"France","Female",48,0,0,2,0,0,149772.61,"0"
"25001",4208.97089162702,15604412.7199641,"Levy",644.567409610609,"Germany","Male",33.8102951252367,9,123052.411287346,1,1,0,190892.380066905,"1"
"20751",2448.22470568074,15653376.7747229,"Greco",548.953469757922,"France","Male",34.532639763318,4.775694523938,137105.290270851,1,0,0,125959.432149052,"1"
"4824",7571.3162478283,15661940.3717687,"Shaw",641.182255027117,"Spain","Female",65.2725816576276,6.61612925725058,151949.120212899,1,0,1,68177.953342291,"1"
"1527",2447.22968490142,15789466.414926,"Meng",538.364889393561,"Germany","Female",54.7364826803096,8.39189273770899,31151.2857256947,1,1,0,178827.750288906,"1"
"670",1424.110583812,15644722.1148961,"Sutherland",785.242091186345,"France","Female",42.5327372644097,4.28968364745378,0,1,1,0,194037.065059172,"1"
"9073",9073,15777315,"Hill",529,"France","Male",43,6,93616.35,2,0,0,98348.66,"0"
"4856",4856,15671148,"Barry",490,"Germany","Male",33,5,96341,2,0,0,108313.34,"0"
"8381.2",8381,15650437,"Shen",522,"Germany","Male",32,8,124450.36,2,1,1,165786.1,"0"
"8474",8474,15802009,"Mazzi",770,"France","Female",33,6,0,2,1,1,126131.9,"0"
"4373.1",4373,15730137,"Udegbulam",628,"France","Male",31,0,88421.81,1,0,0,72350.47,"0"
"10011",2009.7158973983,15665335.1958796,"Milligan",633.176088471897,"Germany","Male",42,1.17823911528103,120731.05585493,1,1,0,44500.7361581231,"1"
"7640",7640,15665590,"Moore",541,"France","Male",46,6,0,2,1,1,83456.67,"0"
"12331",1960.14448493137,15627968.805332,"Riggs",716.030677576084,"Spain","Male",46.7478877187241,9,115013.080853433,1,1,0,63485.9425244362,"1"
"5463",6692.46534088254,15747116.7119,"Walker",693.89122088626,"Spain","Female",44.5269249174744,1.06758215464652,0,2.06758215464652,1,0,48174.2798476928,"1"
"43031",7881.50705524301,15744506.7426404,"Ginikanwa",628.2997745662,"France","Male",44.7500208735,5.79998330119997,111691.165448286,1,0,1,72971.2462694008,"1"
"24761",4232.868730027,15665905.4598738,"Baker",567.222448425135,"France","Female",58.1064672507346,4.48669159365818,91606.6119412225,1.25665420317091,1,0,10506.782789048,"1"
"3105.2",3105,15654230,"Miller",526,"Germany","Male",31,5,145537.21,1,1,0,132404.64,"0"
"42691",7575.45010940731,15625879.5828315,"Murray",541.432667180896,"Germany","Male",41.26077657938,3.26077657938004,52709.7629147632,3,1,0,154090.417525281,"1"
"5751",5751,15583392,"Woronoff",747,"Germany","Male",37,9,135776.36,3,1,0,85470.45,"1"
"6577",6577,15808905,"Levan",823,"France","Male",37,5,164858.18,1,1,1,173516.71,"0"
"29",29,15728693,"McWilliams",574,"Germany","Female",43,3,141349.43,1,1,1,100187.43,"0"
"4196",4196,15747168,"Sanders",626,"Germany","Female",47,2,103108.8,1,0,1,166475.44,"1"
"153.2",153,15811589,"Metcalfe",716,"Spain","Male",42,8,0,2,1,0,180800.42,"0"
"6391.1",6391,15588406,"Chiemenam",574,"Spain","Female",37,7,0,2,1,0,32262.28,"0"
"7201",1092.62790300883,15685341.0991594,"Ch'in",737.435738425702,"Germany","Male",42.724357384257,3.44871476851404,151004.954793647,1.27564261574298,0,1,169164.297995315,"1"
"7878",7878,15793070,"Fiorentino",494,"Spain","Female",41,2,69974.66,2,1,0,188426.13,"1"
"9035",9035,15772337,"Lawrence",723,"Germany","Female",49,0,153855.52,1,1,1,180862.26,"1"
"3132",3132,15614187,"Pottinger",648,"Germany","Female",39,3,126935.98,2,0,1,57995.74,"0"
"369",595.876721906476,15717650.6987733,"Onyinyechukwuka",758.915497202426,"France","Male",50.9612677572295,2.15492897108197,102666.11365768,1,0,0,176218.807305799,"1"
"7841",7841,15611756,"Chapman",537,"Germany","Female",47,4,124192.28,2,1,1,50881.51,"0"
"9933.1",9933,15813451,"Fleetwood-Smith",677,"Spain","Male",18,8,134796.87,2,1,1,114858.9,"0"
"7306.1",7306,15794204,"Manna",687,"France","Male",28,7,108116.66,1,1,1,27411.19,"0"
"26971",5719.60932377912,15660958.0473317,"Martin",509.993311147671,"France","Female",43.4533292995766,0.72666464978829,82269.2772365276,1.72666464978829,0,1,45953.5824049165,"1"
"1027",3338.36750251753,15606095.8748551,"Yeh",732.856600750703,"Spain","Male",40.5787166529335,0,0,1.33796228142455,1,1,6247.30615599202,"1"
"19611",3324.05385841802,15795092.9487041,"Wu",747.46531132888,"France","Male",39,6.15011603198946,176544.348825803,1,1,0,64139.7351739029,"1"
"43461",6795.15344719635,15714206.6244446,"Onio",565.901388552971,"Spain","Male",49.9274037298746,3.11917736334726,10706.7405843193,3,1,0,76383.8240286292,"1"
"875",2947.67872632481,15666272.3198254,"Chukwumaobim",761.596834160388,"Spain","Male",43.1100791459903,3.94496042700484,39181.4635645354,3,1,0,35865.5339918445,"1"
"4668",4668,15596870,"Marino",749,"Germany","Male",54,3,144768.94,1,1,0,93336.3,"1"
"1494",1494,15686963,"Hardiman",680,"Spain","Female",30,3,0,1,1,0,160131.58,"0"
"43431",7396.25058324146,15772687.9861278,"Storey",527.068509611301,"France","Male",51.4949625285808,1.99798501143232,134862.300266961,1.49899250571616,1,0,141588.558475469,"1"
"6533",6533,15732299,"Boniwell",756,"France","Male",67,4,0,3,1,1,93081.87,"0"
"6742",6742,15730810,"Storey",613,"Spain","Male",44,9,100524.69,1,1,1,47298.95,"0"
"39811",3311.65623866278,15644569.2548597,"Jen",679.635251377244,"France","Female",40,7,0,1.24826600798406,0,1,147515.438774624,"1"
"1593",1593,15729668,"Elizabeth",521,"Spain","Male",29,3,60280.62,1,1,0,154271.41,"0"
"277",277,15694456,"Toscani",756,"France","Male",62,3,0,1,1,1,11199.04,"1"
"1623.1",1623,15783955,"Miah",697,"France","Female",25,4,165686.11,2,1,0,15467.98,"0"
"18691",3803.26825896464,15670941.9422997,"Hussey",704.783739088103,"Spain","Female",48.9469665372744,9.27754849661142,0,1,1,1,125275.659881006,"1"
"8212",8212,15650266,"Medvedeva",679,"Germany","Male",39,2,146186.28,2,1,1,193974.47,"0"
"2556.1",2556,15771540,"Fedorova",755,"France","Male",38,9,148912.44,1,1,0,80416.16,"0"
"21401",4375.61871277215,15772310.5525499,"Carr",724.224986477988,"Spain","Female",51.7070488550235,8.01730665215291,0,1,1,0,72576.7234116406,"1"
"12151",1666.05475583533,15606678.1654559,"Shih",679.569111691788,"Spain","Female",50.4775350647978,1.73876753239892,112819.397758896,2,1,1,125417.401740957,"1"
"16781",2467.37824279862,15707399.590706,"Evans",759.577969259815,"Spain","Male",43.6844061480369,3.45938349491917,17614.2025968182,1,0,0,165879.445018572,"1"
"8297.1",8297,15704466,"Udokamma",692,"France","Female",34,7,0,2,1,0,195074.62,"0"
"3290.1",3290,15592570,"Marino",773,"Spain","Female",23,8,0,2,1,0,56759.79,"0"
"9433",9433,15574142,"Chuang",458,"Germany","Female",28,2,171932.26,2,1,1,9578.24,"0"
"6580",6580,15652401,"Lafleur",496,"France","Female",36,7,0,2,0,0,108098.28,"0"
"4320",4320,15759456,"Lupton",609,"Spain","Male",34,7,140694.78,2,1,0,46266.63,"0"
"415.2",415,15810432,"Moseley",795,"Spain","Male",35,8,0,2,1,0,167155.36,"0"
"3218.1",3218,15623502,"Morrison",598,"Spain","Female",56,4,98365.33,1,1,1,44251.33,"0"
"29271",2394.88734955527,15730723.9680569,"Gill",721.248223386705,"Spain","Female",48.2810279233381,9,0,1.28649534611031,0,0,148446.175675968,"1"
"6046",6046,15784594,"Mazzi",549,"Germany","Female",37,1,130622.34,2,1,1,128499.94,"0"
"52481",8583.25620875135,15665383.4212445,"Wallis",621.532095991075,"Germany","Female",52.6041935235262,2.8020967617631,111806.020970274,2,1,1,108930.033401881,"1"
"1552",1552,15749177,"Maslow",730,"Spain","Female",52,7,0,2,0,1,122398.84,"0"
"6595",6595,15808544,"Cameron",747,"France","Female",40,3,0,1,0,0,57817.84,"1"
"6890.1",6890,15651020,"Fiorentino",473,"France","Female",25,6,110666.42,2,0,0,46758.42,"0"
"6394",6394,15789371,"Cattaneo",593,"Germany","Female",41,4,119703.1,2,1,1,109783.29,"0"
"478",478,15809722,"Ankudinov",611,"France","Female",40,8,100812.33,2,1,0,147358.27,"0"
"3449",4811.53595016804,15630055.0080268,"Chinomso",571.928065838292,"Germany","Male",36.5381289441139,6.80719341617078,144012.849885457,2.26906447205693,1,1,170365.144652227,"1"
"7854",7854,15746674,"Miller",730,"France","Female",47,7,0,1,1,0,33373.26,"1"
"40901",6573.69057931891,15593949.7550036,"Bracewell",661.560614402872,"Germany","Female",53.9678498343565,1.03215016564354,187161.049362923,1,0,0,112153.205834105,"1"
"878.2",878,15800228,"Bednall",652,"Spain","Female",42,4,0,2,1,1,38152.01,"0"
"10991",2121.25902432017,15784182.4177991,"Olsen",732.062963249162,"Spain","Male",37.4907013457268,5.49070134572685,131355.712031679,1.25464932713658,1,0,161897.066906115,"1"
"18771",1301.67236995511,15695196.4671364,"Walker",696.82114555873,"France","Female",36.342380175367,2.342380175367,102699.218146645,3,0,0,63348.421891094,"1"
"39521",8168.3174190016,15602918.5196642,"Jolly",739.930957475211,"Spain","Female",56.8708758093417,3.14114052383229,0,3,1,1,88013.9206923628,"1"
"2553",2553,15756560,"Moran",599,"Spain","Female",46,7,81742.84,2,1,0,83282.21,"0"
"7390",7390,15676909,"Mishin",667,"Spain","Female",34,5,0,2,1,0,163830.64,"0"
"1279",2242.53423783556,15615028.7607488,"Melton",809.002569168806,"Spain","Female",54.368961930275,8,173944.636587163,1,0,0,165558.749213853,"1"
"4515",4515,15658670,"Chien",669,"France","Female",38,8,0,2,1,0,84049.16,"0"
"1120.2",1120,15585241,"Butcher",756,"Spain","Male",29,2,117412.19,2,1,0,4888.91,"0"
"6711",6711,15701037,"Barton",578,"France","Male",39,2,0,2,1,0,70563.9,"0"
"46.1",46,15754849,"Tyler",776,"Germany","Female",32,4,109421.13,2,1,1,126517.46,"0"
"7845.1",7845,15667633,"Allen",612,"France","Female",38,1,0,2,1,1,9209.21,"0"
"2472",2472,15595537,"Trout",626,"Germany","Male",49,9,171787.84,2,1,0,187192.23,"0"
"4008.1",4008,15645496,"Seleznyova",648,"France","Female",43,7,139972.18,1,1,0,143668.58,"0"
"8902",8902,15633474,"Whitehead",586,"France","Male",51,2,138553.57,1,1,1,92406.22,"0"
"4406",4406,15617655,"Holt",564,"Spain","Female",35,9,0,2,1,1,105837.38,"0"
"5803.1",5803,15716236,"Milani",499,"France","Male",35,10,0,2,1,0,10722.54,"0"
"9698",9698,15609735,"Campbell",533,"Germany","Male",51,6,127545.56,2,0,0,79559.02,"1"
"1643",1643,15683544,"Buccho",626,"Spain","Male",62,3,0,1,1,1,65010.74,"0"
"3938",3938,15610165,"Hsiung",761,"France","Female",26,1,0,2,1,1,199409.19,"0"
"681",681,15780804,"Nucci",482,"France","Male",55,5,97318.25,1,0,1,78416.14,"0"
"8452.1",8452,15580043,"Murray",575,"Spain","Female",22,8,105229.34,1,1,1,34397.08,"0"
"18321",6180.38738515973,15790570.971487,"Hao",760.094012141228,"Germany","Male",45.7197076678276,6.02802923321724,123922.676940001,3,0,1,57679.6940113176,"1"
"472",472,15683625,"Hare",703,"France","Male",37,1,149762.08,1,1,0,20629.4,"1"
"2311",2311,15569222,"Mendes",781,"France","Male",32,6,147107.91,1,1,1,40066.95,"0"
"360",1192.26740411087,15597999.5040932,"Kwemto",559.317530668806,"Spain","Male",39.7971022392157,8.32674586167559,55169.0797177321,1.1633729308378,1,1,83081.479276033,"1"
"9580",9580,15640407,"Chidiegwu",821,"Germany","Male",45,0,135827.33,2,1,1,131778.58,"0"
"659",659,15568595,"Fleming",544,"France","Male",64,9,113829.45,1,1,1,124341.49,"0"
"988",988,15613749,"Lees",569,"Spain","Male",34,0,151839.26,1,1,0,102299.81,"1"
"1948",1948,15657812,"Ch'iu",688,"France","Male",52,1,0,2,1,1,172033.57,"0"
"9830",9830,15724200,"Cheng",584,"France","Male",38,1,115341.55,1,0,1,173632.92,"0"
"54301",8071.38990069926,15654249.6267018,"H?",629.263108473271,"Germany","Male",44,6.76826541870832,149537.626181047,1,1,0,58888.1287727387,"1"
"6635",6635,15575399,"Somadina",480,"France","Female",42,1,152160.21,2,1,0,101778.9,"0"
"8616.1",8616,15789924,"Hussain",658,"France","Female",39,4,0,1,1,1,147530.06,"0"
"5264",5264,15745030,"Trevisano",809,"Germany","Male",41,1,79706.25,2,1,0,165675.01,"0"
"7458",7458,15668889,"Galgano",665,"Germany","Female",43,2,116322.27,4,1,0,35640.12,"1"
"46441",7860.42600095272,15590720.4184233,"Ogochukwu",638.450112458318,"Spain","Male",33.5379009656608,2,17176.8022152348,1,1,1,46409.1155566631,"1"
"59411",9133.75991836959,15782670.6190032,"Booth",804.516007292783,"France","Male",36.3705138689838,9.83067758078687,145985.382227288,1.83067758078687,0,1,63893.5326662097,"1"
"37741",7061.5980297795,15769878.9724894,"Uvarov",624.936464380939,"Germany","Female",51.9277162116487,1.34392260317691,32392.7008966333,1,1,1,41887.0170023731,"1"
"2020",2020,15756668,"Ross",706,"France","Male",30,3,98415.37,1,1,1,110520.48,"0"
"6306",6306,15732563,"Swanton",726,"Germany","Female",33,7,99046.31,2,1,1,56053.06,"0"
"5984",5984,15767891,"Findlay",619,"Germany","Female",28,6,99152.73,2,1,0,48475.12,"0"
"9622.1",9622,15639549,"Jen",718,"Germany","Female",33,4,70541.06,1,0,0,88592.8,"0"
"7663",7663,15650591,"Calabrese",809,"Germany","Male",50,10,118098.62,1,1,1,100720.02,"1"
